Addresses,Amount
7rDkG3DDYpXmA89X1nzXzYaS9CR3skNMeWH3SjzBXiFi,0.01
GBd9G2jmPY7oHR3yYh19CFFL2PaKidLGBpY8jPjdzZEH,0.01
7XrwXUC3VBbhbqJ3kS1Y3aUEAVYHWsCiJwGPsvDn3egR,0.01
H9BpnD6yx1SFGsRerVLf28pbeQ7LmVYyvWWJng2szTqk,0.01
G4rLVVZq84yi8LyFFZwBFTRzgGE6Gk6JrdeoMeoFMXq3,0.01
49TKs6CPCZLZ72f4ZBoLW3w32fLnu8C78oNcZyMWdUbJ,0.01
5CxAzahnSXTGU73N178TkTZSTKFuByJ9rP8UqpoeKCej,0.01
6V3rYSyoAPCTA43gkXKX1YWq122ebJizz3U71QSq3m2i,0.01
HzDRXGEBajiMwr7sh3FmMFPQD2mXkiZph6E4vG21v5MV,0.01
3AjC8MCs4cZYK6cP3A17TDAUMAAduAbVnGLMzAuvwTzW,0.01
52Zn2wgjDr2VEU3eqErpw6MPseuoGLsCLthN2mUr73Hf,0.01
CdvWXLtUYeVkdooZNpw2tdhTNdyX6jRuinoc46WKfZxJ,0.01
BmNRYXfz7yo88eJTKRckuN6JgHeR9XeGx95GWfJc8s5j,0.01
7MFUXQzn6JfcqoP2e18GcM7VDNhehmapEdi9Q3hPzYPD,0.01
4o6khKdC2cJhswF5FdCSxerNM6X2jGYcPu7bcMefejjG,0.01
J3Ee2ktGGcWusc9LnvB3vqSyRgSHp6b6kPcFiZBMtWSq,0.01
3p5PKhY9AdNNgGdrTKxHQ9TYWwoGDnp8Kusv7ia6tk4r,0.01
ACdg1dCCY6BsL96jmm4bKnH4ckkgMJN4zxX47o4PZP2a,0.01
DvQNcCChbvxkSoQAJg1HTvvZFwL2GkaVnuRcUpQSYXnV,0.01
4pNQ9BywABuwEUW1VUsVAe7FXp431eUzYaPwkh81Fya3,0.01
2zseFzw4Fy4nMET95s8S4GhxnZDztwB8QTycTCgVMWJV,0.01
Fo8izNiAvdBHVsabydrjz4ro8Eu9Ms1jhzP6MfX1UnKB,0.01
3f5pALzFBb4C4Ef9iB9Cn2AeRf51aQ3fEvNTXazNYXig,0.01
9a2yfCasTtnaqRvJ62kWYZZe8QQusiwuCrYLrh8U8wDP,0.01
J7UqFvj68F1wLgyPGLawSUFN6dyCCETZhP3oJ3FKuMU5,0.01
9BqwadaAd4nAp4a7CFKxrSPq4XfEiMFFLkorEMPDBqtA,0.01
4eRY5za3vLFazF4bgirVrm3S62uupwYSKMTeKgDhZxt9,0.01
BdVW8ms4xFHxVy1itcrW899w82GtSRMat2pASU6C6UkB,0.01
9aV658fZ1x3hNDnN3jnX2SemFrMBAKsKdnWxB5S8aAcp,0.01
RiZAkjUAw1Yq6zQNJtSXpG1MCFMASxkHJCmpmCpsvix,0.01
22mepJY1MQeiYHNwjEWqVRTD7M5Z1BcWUZK3FXsHMVar,0.01
Axf41n2fknpZoKruoGaLMADp6cTEGfPrVkzSb3hYztXy,0.01
Ce3wQ7viRNuNpJnWSEzzyUMYoEmJXVwRpagq2hL5S28,0.01
FmmHuCi7rajoDiuMeGX8oXrGzSVMJrhmtq4iGQg542g7,0.01
5H1BLF476pEP9Fdw6RoXGx9tBJpogiYhcUnFqhb997Pf,0.01
HzMT954iUYuZZ2aibg5pHKYGif6NaouPnciMDobqdXQG,0.01
JtfYh1EuuEeLV12KgCh884yR7jWE4E1M6p8cfjUbxgx,0.01
4jUP19LjgkRjYrrgTtoYqUoKA3m4xu22rdUAHjsSfLNs,0.01
68AtvYav6ZRdVYX4rrWFAxBhjkQg8CsTfRQZ7hZy4cMT,0.01
48Y1J1BkKebG6igdBUtHbPmPkzZggXEtNXHeNvoKDQ83,0.01
9eb7FUDgbP9Qcd9tYiYeZRTSJzafbWuNeRt6gi3zjDw8,0.01
CK28mEo8BSxs1FoztgEATCGvWdQVMhhskQ4K9dVk6Qvv,0.01
JbGVDvVC3JnfAF74AduyvBH8iZfAoqKa358FqcdHcrg,0.01
HScnuj6EoNoGruDRQqCJuSgHxc9S82dRPzWHtmtHR32y,0.01
4X7CSUFhrfip6XPozdCJdH2A93mptPPJ3UEi463pzpc9,0.01
CRWcvTFgquuxEgLX9cHkx4up3vDS2CwckohHfau3U847,0.01
9i8s88zBAktFCGMkBhu91o5mvCBkSPfArs1SaV11gDVD,0.01
24DtRKcaHRHTpdsSiKWdRXEALpbtYRcvJyh4VyaWtaoJ,0.01
